contributor_state,total_contribution_count,total_contribution_amount,ind_contribution_count,ind_contribution_amount,pac_contribution_count,pac_contribution_amount
AP,2,500.0,2,500.0,0.0,0.0
AZ,5,3700.0,5,3700.0,0.0,0.0
CA,524,414975.09,497,359175.09,21.0,45800.0
CO,26,12847.75,20,6847.75,1.0,1000.0
CT,70,73741.25,68,66741.25,1.0,5000.0
DC,411,591504.6,239,111206.69,158.0,453581.58999999997
DE,8,2011.94,8,2011.94,0.0,0.0
FL,27,18129.28,26,17129.28,0.0,0.0
GA,13,8282.6,12,7874.0,0.0,0.0
HI,3,1000.0,3,1000.0,0.0,0.0
IA,3,766.66,3,766.66,0.0,0.0
ID,3,1714.29,3,1714.29,0.0,0.0
IL,56,52484.46,47,37734.46,9.0,14750.0
IN,7,6840.0,7,6840.0,0.0,0.0
KS,1,2900.0,1,2900.0,0.0,0.0
KY,13,3075.0,12,1075.0,0.0,0.0
LA,2,1000.0,2,1000.0,0.0,0.0
MA,3706,1749038.29,267,157053.61,3438.0,1591953.43
MD,121,109186.37,101,53186.37,18.0,54000.0
MI,4,7400.0,2,1400.0,2.0,6000.0
MN,23,6400.0,23,6400.0,0.0,0.0
MO,10,1913.8899999999999,10,1913.8899999999999,0.0,0.0
NC,15,3674.5,15,3674.5,0.0,0.0
ND,1,250.0,1,250.0,0.0,0.0
NH,9,4983.33,9,4983.33,0.0,0.0
NJ,83,35429.85,74,24429.85,4.0,6000.0
NM,9,5650.0,9,5650.0,0.0,0.0
NV,1,1000.0,1,1000.0,0.0,0.0
NY,541,457120.49,531,438363.86,6.0,14600.0
OH,12,5717.639999999999,12,5717.639999999999,0.0,0.0
OK,4,8934.0,4,8934.0,0.0,0.0
OR,22,18723.559999999998,19,7723.5599999999995,2.0,10000.0
PA,1780,841734.21,1750,796269.78,15.0,29000.0
RI,14,22066.67,10,13066.67,3.0,7000.0
SC,29,16755.13,27,12755.130000000001,0.0,0.0
TN,5,2100.0,4,1100.0,0.0,0.0
TX,27,25833.57,25,23621.97,0.0,0.0
UT,9,3646.0,9,3646.0,0.0,0.0
VA,97,68996.78,86,42496.78,9.0,24000.0
VI,1,250.0,1,250.0,0.0,0.0
VT,2,285.7,2,285.7,0.0,0.0
WA,42,28584.82,38,19929.8,1.0,5000.0
WI,7,8870.98,4,1067.68,2.0,4000.0
WV,6,8100.0,6,8100.0,0.0,0.0
WY,2,1000.0,2,1000.0,0.0,0.0
ZZ,6,990.0,6,990.0,0.0,0.0
