contributor_state,total_contribution_count,total_contribution_amount,ind_contribution_count,ind_contribution_amount,pac_contribution_count,pac_contribution_amount
AZ,4.0,12000.0,2.0,2000.0,2.0,10000.0
CA,70.0,88650.0,54.0,64150.0,15.0,23500.0
CO,5.0,12600.0,2.0,5600.0,3.0,7000.0
CT,10.0,19000.0,6.0,8000.0,4.0,11000.0
DC,353.0,645987.0,37.0,36450.0,283.0,586349.56
DE,8.0,11500.0,2.0,2500.0,6.0,9000.0
FL,29.0,43800.0,22.0,26800.0,7.0,17000.0
GA,7.0,13250.0,1.0,250.0,6.0,13000.0
IA,1.0,1000.0,0.0,0.0,1.0,1000.0
ID,1.0,2500.0,0.0,0.0,1.0,2500.0
IL,32.0,52250.0,8.0,6750.0,24.0,45500.0
IN,10.0,11000.0,4.0,3000.0,6.0,8000.0
KS,6.0,10000.0,1.0,500.0,5.0,9500.0
LA,3.0,8000.0,1.0,1000.0,2.0,7000.0
MA,364.0,299748.0,3.0,2500.0,358.0,294748.0
MD,47.0,79300.0,19.0,12800.0,28.0,66500.0
MI,17.0,43600.0,7.0,16600.0,10.0,27000.0
MN,11.0,24500.0,2.0,1000.0,9.0,23500.0
MO,10.0,17705.86,2.0,3705.86,8.0,14000.0
MS,1.0,500.0,1.0,500.0,0.0,0.0
NC,7.0,16525.0,2.0,4025.0,5.0,12500.0
ND,1.0,1000.0,0.0,0.0,1.0,1000.0
NJ,30.0,53400.0,20.0,22900.0,10.0,30500.0
NY,90.0,149550.0,72.0,106050.0,18.0,43500.0
OH,3.0,3500.0,2.0,2500.0,1.0,1000.0
OK,1.0,5000.0,0.0,0.0,1.0,5000.0
OR,3.0,6000.0,0.0,0.0,2.0,5000.0
PA,352.0,299673.01,302.0,184873.01,41.0,100000.0
PR,8.0,11401.02,8.0,11401.02,0.0,0.0
SC,2.0,1000.0,2.0,1000.0,0.0,0.0
TN,6.0,14900.0,1.0,2900.0,5.0,12000.0
TX,27.0,190067.88999999998,4.0,6000.0,16.0,27500.0
UT,2.0,1250.0,2.0,1250.0,0.0,0.0
VA,67.0,104730.37,19.0,16950.0,47.0,87500.0
WA,5.0,4000.0,2.0,1000.0,3.0,3000.0
WI,3.0,4000.0,0.0,0.0,3.0,4000.0
WV,1.0,500.0,1.0,500.0,0.0,0.0
ZZ,3.0,5800.0,3.0,5800.0,0.0,0.0
