contributor_state,total_contribution_count,total_contribution_amount,ind_contribution_count,ind_contribution_amount,pac_contribution_count,pac_contribution_amount
AK,1.0,2900.0,1.0,2900.0,0.0,0.0
AL,12.0,15850.0,8.0,13850.0,0.0,0.0
AR,18.0,37700.0,9.0,23700.0,9.0,14000.0
AZ,19.0,46000.0,16.0,35000.0,3.0,11000.0
CA,175.0,304449.91,140.0,207999.38,32.0,92000.0
CO,31.0,43016.67,29.0,41600.0,2.0,1416.67
CT,62.0,107033.23,59.0,96033.23,3.0,11000.0
DC,392.0,845879.73,24.0,27420.17,360.0,802459.56
DE,3.0,2500.0,3.0,2500.0,0.0,0.0
FL,141.0,249088.27,106.0,197088.27,32.0,47000.0
GA,56.0,123850.0,27.0,50950.0,28.0,71900.0
IA,8.0,9500.0,3.0,3500.0,3.0,1000.0
ID,1.0,5000.0,0.0,0.0,1.0,5000.0
IL,80.0,164547.37,57.0,105547.37,22.0,57000.0
IN,8.0,10300.0,3.0,300.0,4.0,8000.0
KS,6.0,15500.0,3.0,5500.0,3.0,10000.0
LA,9.0,14500.0,5.0,7000.0,2.0,3500.0
MA,38.0,58000.0,30.0,41500.0,8.0,16500.0
MD,88.0,557844.9,25.0,24525.0,52.0,294731.45
ME,1.0,1000.0,1.0,1000.0,0.0,0.0
MI,79.0,43648.55,60.0,11648.55,19.0,32000.0
MN,42.0,64866.94,31.0,35007.14,10.0,26500.0
MO,23.0,58178.94,12.0,21178.94,10.0,35000.0
NC,14.0,25750.0,5.0,5750.0,9.0,20000.0
ND,1.0,1000.0,0.0,0.0,0.0,0.0
NE,3.0,4150.0,2.0,3150.0,1.0,1000.0
NH,1.0,500.0,1.0,500.0,0.0,0.0
NJ,95.0,131168.75,82.0,109425.0,13.0,21743.75
NM,1.0,2900.0,0.0,0.0,0.0,0.0
NV,10.0,18493.0,10.0,18493.0,0.0,0.0
NY,188.0,329580.71,169.0,277580.71,19.0,52000.0
OH,28.0,45250.0,6.0,5250.0,22.0,40000.0
OK,14.0,6312.99,13.0,3812.99,1.0,2500.0
OR,3.0,1200.0,3.0,1200.0,0.0,0.0
PA,938.0,758312.47,859.0,620961.47,64.0,121900.0
PR,2.0,2500.0,2.0,2500.0,0.0,0.0
RI,3.0,7000.0,2.0,5000.0,1.0,2000.0
SC,7.0,7846.67,7.0,7846.67,0.0,0.0
TN,10.0,22750.0,6.0,9750.0,3.0,12000.0
TX,226.0,342628.93,182.0,255628.93,40.0,82000.0
UT,11.0,15200.0,8.0,12700.0,2.0,1500.0
VA,1019.0,4382276.89,127.0,84303.6,890.0,4219740.48
WA,14.0,23200.0,6.0,9800.0,8.0,13400.0
WI,12.0,10950.0,9.0,4950.0,3.0,6000.0
WV,1.0,2000.0,0.0,0.0,0.0,0.0
WY,1.0,1000.0,0.0,0.0,0.0,0.0
