contributor_state,total_contribution_count,total_contribution_amount,ind_contribution_count,ind_contribution_amount,pac_contribution_count,pac_contribution_amount
AL,1.0,1000.0,0.0,0.0,1.0,1000.0
AR,3.0,7000.0,2.0,2000.0,1.0,5000.0
AZ,2.0,2500.0,1.0,500.0,1.0,2000.0
CA,19.0,44500.0,4.0,8500.0,15.0,36000.0
CO,2.0,2000.0,1.0,1000.0,1.0,1000.0
CT,1.0,2900.0,1.0,2900.0,0.0,0.0
DC,180.0,355468.26,23.0,18400.0,153.0,335068.26
DE,4.0,14500.0,0.0,0.0,4.0,14500.0
FL,14.0,18300.0,9.0,8800.0,4.0,7500.0
GA,5.0,12000.0,0.0,0.0,5.0,12000.0
IA,1.0,3000.0,0.0,0.0,1.0,3000.0
IL,18.0,35500.0,0.0,0.0,17.0,33500.0
IN,10.0,15950.0,2.0,450.0,8.0,15500.0
KS,5.0,11500.0,1.0,1000.0,4.0,10500.0
KY,4.0,10800.0,2.0,5800.0,2.0,5000.0
MA,5.0,15400.0,1.0,2900.0,4.0,12500.0
MD,13.0,22000.0,8.0,6000.0,5.0,16000.0
MI,5.0,12500.0,0.0,0.0,5.0,12500.0
MN,4.0,5500.0,0.0,0.0,4.0,5500.0
MO,7.0,12000.0,1.0,500.0,5.0,9500.0
NC,5.0,13500.0,0.0,0.0,5.0,13500.0
NJ,3.0,8000.0,0.0,0.0,3.0,8000.0
NV,2.0,5800.0,2.0,5800.0,0.0,0.0
NY,14.0,29300.0,2.0,5800.0,12.0,23500.0
OH,19.0,29050.0,6.0,6050.0,13.0,23000.0
OK,6.0,14700.0,3.0,8700.0,3.0,6000.0
PA,493.0,378017.41,468.0,348767.41,21.0,27500.0
SD,1.0,1000.0,1.0,1000.0,0.0,0.0
TN,6.0,12800.0,2.0,5800.0,4.0,7000.0
TX,19.0,41400.0,2.0,3900.0,16.0,36500.0
UT,1.0,2900.0,1.0,2900.0,0.0,0.0
VA,97.0,158499.37,34.0,32001.37,61.0,125350.0
WA,5.0,7500.0,0.0,0.0,5.0,7500.0
WI,6.0,12000.0,0.0,0.0,5.0,11000.0
