contributor_state,total_contribution_count,total_contribution_amount,ind_contribution_count,ind_contribution_amount,pac_contribution_count,pac_contribution_amount
AL,5.0,125.0,5.0,125.0,0.0,0.0
AZ,27.0,14645.41,21.0,950.0,6.0,13695.41
CA,289.0,147693.2,280.0,125193.2,5.0,14500.0
CO,13.0,7690.0,12.0,6690.0,1.0,1000.0
CT,34.0,2728.33,34.0,2728.33,0.0,0.0
DC,251.0,278104.32,91.0,48769.32,156.0,220835.0
DE,8.0,400.0,8.0,400.0,0.0,0.0
FL,55.0,17111.99,53.0,14111.99,1.0,1000.0
GA,21.0,17830.0,20.0,15830.0,0.0,0.0
HI,2.0,1250.0,1.0,250.0,0.0,0.0
IA,1.0,166.67,1.0,166.67,0.0,0.0
IL,54.0,25034.63,50.0,18034.63,3.0,6000.0
IN,9.0,2875.0,9.0,2875.0,0.0,0.0
KS,2.0,200.0,2.0,200.0,0.0,0.0
KY,7.0,14120.0,6.0,12120.0,0.0,0.0
LA,11.0,1320.0,11.0,1320.0,0.0,0.0
MA,3275.0,809952.59,133.0,35375.89,3142.0,774576.7
MD,51.0,20055.0,48.0,16555.0,2.0,2500.0
ME,6.0,3351.67,6.0,3351.67,0.0,0.0
MI,30.0,2175.5,29.0,1975.5,0.0,0.0
MN,15.0,7507.5,15.0,7507.5,0.0,0.0
MO,16.0,8500.0,16.0,8500.0,0.0,0.0
MS,3.0,1316.6599999999999,2.0,316.65999999999997,1.0,1000.0
MT,1.0,250.0,1.0,250.0,0.0,0.0
NC,33.0,5907.5,32.0,4907.5,0.0,0.0
NH,3.0,1666.6599999999999,3.0,1666.6599999999999,0.0,0.0
NJ,67.0,15915.34,67.0,15915.34,0.0,0.0
NM,1.0,100.0,1.0,100.0,0.0,0.0
NV,5.0,652.0,5.0,652.0,0.0,0.0
NY,232.0,116322.75,220.0,84222.75,11.0,31100.0
OH,23.0,8415.0,22.0,7415.0,1.0,1000.0
OR,47.0,8815.66,46.0,7815.66,0.0,0.0
PA,1992.0,421775.69,1950.0,381659.18,11.0,13702.26
RI,2.0,1250.0,2.0,1250.0,0.0,0.0
SC,23.0,2255.0,22.0,255.0,0.0,0.0
TN,4.0,11250.0,2.0,1250.0,2.0,10000.0
TX,20.0,7054.96,18.0,4054.96,0.0,0.0
VA,64.0,33360.39,63.0,28360.39,1.0,5000.0
VT,7.0,8073.59,4.0,1800.0,3.0,6273.59
WA,69.0,28046.0,65.0,16046.0,2.0,10000.0
WI,6.0,9875.0,4.0,5875.0,2.0,4000.0
ZZ,2.0,1000.0,2.0,1000.0,0.0,0.0
