2023-10-11 12:11:15,233 - INFO - Export button disabled for candidate: KELLY ARMSTRONG, State: ND, District: 00
2023-10-11 12:11:16,176 - INFO - Export button disabled for candidate: JOHN-TRENT KELLY, State: MS, District: 01
2023-10-11 12:11:17,483 - INFO - Export button disabled for candidate: MIKE FLOOD, State: NE, District: 01
2023-10-11 12:11:18,877 - INFO - Export button disabled for candidate: DINA TITUS, State: NV, District: 01
2023-10-11 12:11:19,272 - INFO - Export button disabled for candidate: MELANIE STANSBURY, State: NM, District: 01
2023-10-11 12:11:19,290 - INFO - Export button disabled for candidate: GREG LANDSMAN, State: OH, District: 01
2023-10-11 12:11:19,681 - INFO - Export button disabled for candidate: JOHN BERGMAN, State: MI, District: 01
2023-10-11 12:11:19,763 - INFO - Export button disabled for candidate: DONALD-W NORCROSS, State: NJ, District: 01
2023-10-11 12:11:20,305 - INFO - Export button disabled for candidate: CORI BUSH, State: MO, District: 01
2023-10-11 12:11:22,507 - INFO - Export button disabled for candidate: SANDY SMITH, State: NC, District: 01
2023-10-11 12:11:22,544 - INFO - Export button disabled for candidate: BRIDGET FLEMING, State: NY, District: 01
2023-10-11 12:11:26,284 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102753f40>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/7389370b-8a75-4532-b246-492cad0e8135/refresh
2023-10-11 12:11:26,317 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10274fd30>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/7389370b-8a75-4532-b246-492cad0e8135/refresh
2023-10-11 12:11:26,319 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10278e940>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/7389370b-8a75-4532-b246-492cad0e8135/refresh
2023-10-11 12:11:26,321 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102886130>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/5349ca71-7514-469a-9b43-98ad3b9a46fa/refresh
2023-10-11 12:11:26,322 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028862e0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/5349ca71-7514-469a-9b43-98ad3b9a46fa/refresh
2023-10-11 12:11:26,322 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102886490>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/5349ca71-7514-469a-9b43-98ad3b9a46fa/refresh
2023-10-11 12:11:26,343 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10457e490>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fb05c5ad-dfeb-4c35-a130-8792f94ab729/element
2023-10-11 12:11:26,343 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028893d0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fb05c5ad-dfeb-4c35-a130-8792f94ab729/element
2023-10-11 12:11:26,344 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102889520>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fb05c5ad-dfeb-4c35-a130-8792f94ab729/element
2023-10-11 12:11:26,349 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104578700>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fd47b0db-84a8-417b-b3e1-c270611f057e/element
2023-10-11 12:11:26,350 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102889880>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fb05c5ad-dfeb-4c35-a130-8792f94ab729/refresh
2023-10-11 12:11:26,350 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102886100>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fb05c5ad-dfeb-4c35-a130-8792f94ab729/refresh
2023-10-11 12:11:26,350 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028861f0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fd47b0db-84a8-417b-b3e1-c270611f057e/element
2023-10-11 12:11:26,351 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102886340>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fb05c5ad-dfeb-4c35-a130-8792f94ab729/refresh
2023-10-11 12:11:26,351 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102886550>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fd47b0db-84a8-417b-b3e1-c270611f057e/element
2023-10-11 12:11:26,351 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10457e340>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fd47b0db-84a8-417b-b3e1-c270611f057e/refresh
2023-10-11 12:11:26,352 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10457eac0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fd47b0db-84a8-417b-b3e1-c270611f057e/refresh
2023-10-11 12:11:26,352 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10457ec70>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fd47b0db-84a8-417b-b3e1-c270611f057e/refresh
