2023-10-11 12:29:40,544 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1026968b0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/548b882d-cf89-4130-a94b-2c36a8ddc566/refresh
2023-10-11 12:29:40,549 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10265c100>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/548b882d-cf89-4130-a94b-2c36a8ddc566/refresh
2023-10-11 12:29:40,550 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10278e4f0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/548b882d-cf89-4130-a94b-2c36a8ddc566/refresh
2023-10-11 12:29:44,723 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104c01eb0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/f218736a-0669-4ad2-907d-c3ee50abe3d2/execute/sync
2023-10-11 12:29:44,723 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10369d970>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/f218736a-0669-4ad2-907d-c3ee50abe3d2/execute/sync
2023-10-11 12:29:44,724 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10369d6a0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/f218736a-0669-4ad2-907d-c3ee50abe3d2/execute/sync
2023-10-11 12:29:54,727 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10369da00>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/f218736a-0669-4ad2-907d-c3ee50abe3d2/execute/sync
2023-10-11 12:29:54,728 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102795d00>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/f218736a-0669-4ad2-907d-c3ee50abe3d2/execute/sync
2023-10-11 12:29:54,729 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102795b80>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/f218736a-0669-4ad2-907d-c3ee50abe3d2/execute/sync
2023-10-11 12:30:04,733 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104c012b0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/f218736a-0669-4ad2-907d-c3ee50abe3d2/execute/sync
2023-10-11 12:30:04,734 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102795ca0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/f218736a-0669-4ad2-907d-c3ee50abe3d2/execute/sync
