2023-10-11 12:51:42,197 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))': /session/b66f7e4b-64da-48d8-9fac-5c8b82dd4e9e
2023-10-11 12:51:42,198 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104ddc100>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/b66f7e4b-64da-48d8-9fac-5c8b82dd4e9e
2023-10-11 12:51:42,198 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104dd7f40>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/b66f7e4b-64da-48d8-9fac-5c8b82dd4e9e
2023-10-11 12:51:42,444 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105d3f190>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/cf9d1d9b-35fb-40ea-85be-aeb68055a719/element
2023-10-11 12:51:42,444 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104f0e190>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/cf9d1d9b-35fb-40ea-85be-aeb68055a719/element
2023-10-11 12:51:42,445 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104f0e1c0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/cf9d1d9b-35fb-40ea-85be-aeb68055a719/element
2023-10-11 12:51:42,445 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104f15ca0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/cf9d1d9b-35fb-40ea-85be-aeb68055a719
2023-10-11 12:51:42,446 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104f15c10>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/cf9d1d9b-35fb-40ea-85be-aeb68055a719
2023-10-11 12:51:42,446 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104f0e400>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/cf9d1d9b-35fb-40ea-85be-aeb68055a719
2023-10-11 12:51:42,567 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105d3f640>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/dd221776-033e-4027-989f-07809b2bc877/element
2023-10-11 12:51:42,568 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105cc95b0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/dd221776-033e-4027-989f-07809b2bc877/element
2023-10-11 12:51:42,568 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104f0e100>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/dd221776-033e-4027-989f-07809b2bc877/element
2023-10-11 12:51:42,569 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104f15d90>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/dd221776-033e-4027-989f-07809b2bc877
2023-10-11 12:51:42,569 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105d18040>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/dd221776-033e-4027-989f-07809b2bc877
2023-10-11 12:51:42,569 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105d181c0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/dd221776-033e-4027-989f-07809b2bc877
