2023-10-11 14:05:00,351 - INFO - Download failed for candidate: RICHARD-E-MR. NEAL, State: MA, District: 01
2023-10-11 14:05:04,025 - INFO - Download failed for candidate: JEFFREY-M. ETTINGER, State: MN, District: 01
2023-10-11 14:05:04,233 - INFO - Download failed for candidate: JOHN BERGMAN, State: MI, District: 01
2023-10-11 14:05:07,456 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106a89910>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/c42b41c0-747a-409e-adc7-48e3ac0d7fce/element
2023-10-11 14:05:07,456 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105257ee0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/c42b41c0-747a-409e-adc7-48e3ac0d7fce/element
2023-10-11 14:05:07,457 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105257d30>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/c42b41c0-747a-409e-adc7-48e3ac0d7fce/element
2023-10-11 14:05:07,457 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1053842e0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/c42b41c0-747a-409e-adc7-48e3ac0d7fce/refresh
2023-10-11 14:05:07,458 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10538e0d0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/c42b41c0-747a-409e-adc7-48e3ac0d7fce/refresh
2023-10-11 14:05:07,458 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10538e250>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/c42b41c0-747a-409e-adc7-48e3ac0d7fce/refresh
2023-10-11 14:05:07,774 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106a89dc0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/3684aa62-f428-49c5-a4c4-9eabac33bfae/element
2023-10-11 14:05:07,775 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105397130>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/3684aa62-f428-49c5-a4c4-9eabac33bfae/element
2023-10-11 14:05:07,776 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1053973d0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/3684aa62-f428-49c5-a4c4-9eabac33bfae/element
2023-10-11 14:05:07,777 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105397850>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/3684aa62-f428-49c5-a4c4-9eabac33bfae/refresh
2023-10-11 14:05:07,777 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1053977c0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/3684aa62-f428-49c5-a4c4-9eabac33bfae/refresh
2023-10-11 14:05:07,777 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105397a00>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/3684aa62-f428-49c5-a4c4-9eabac33bfae/refresh
