2023-10-11 14:41:32,717 - INFO - Download failed for candidate: RICHARD-E-MR. NEAL, State: MA, District: 01
2023-10-11 14:41:34,332 - INFO - Download failed for candidate: JEFFREY-M. ETTINGER, State: MN, District: 01
2023-10-11 14:41:34,772 - INFO - Download failed for candidate: JOHN BERGMAN, State: MI, District: 01
2023-10-11 14:41:42,763 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10182a9d0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/7e34c906-4b6a-4e68-8ae1-a7e54709c821/element
2023-10-11 14:41:42,763 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100947ee0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/7e34c906-4b6a-4e68-8ae1-a7e54709c821/element
2023-10-11 14:41:42,764 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100947fd0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/7e34c906-4b6a-4e68-8ae1-a7e54709c821/element
2023-10-11 14:41:42,764 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a74310>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/7e34c906-4b6a-4e68-8ae1-a7e54709c821/refresh
2023-10-11 14:41:42,765 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a7e0a0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/7e34c906-4b6a-4e68-8ae1-a7e54709c821/refresh
2023-10-11 14:41:42,765 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a7e220>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/7e34c906-4b6a-4e68-8ae1-a7e54709c821/refresh
2023-10-11 14:41:42,957 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10182a4c0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/5f5d4a2d-f9a5-457c-b0c2-4828414ea198/element
2023-10-11 14:41:42,958 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a7e6a0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/5f5d4a2d-f9a5-457c-b0c2-4828414ea198/element
2023-10-11 14:41:42,958 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a7e610>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/5f5d4a2d-f9a5-457c-b0c2-4828414ea198/element
2023-10-11 14:41:42,959 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a85b80>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/5f5d4a2d-f9a5-457c-b0c2-4828414ea198/refresh
2023-10-11 14:41:42,960 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a85df0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/5f5d4a2d-f9a5-457c-b0c2-4828414ea198/refresh
2023-10-11 14:41:42,960 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a87070>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/5f5d4a2d-f9a5-457c-b0c2-4828414ea198/refresh
2023-10-11 14:41:43,057 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10186b160>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fecae070-5d06-4241-a964-0a832d0e3e1b/element
2023-10-11 14:41:43,058 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a81580>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fecae070-5d06-4241-a964-0a832d0e3e1b/element
2023-10-11 14:41:43,058 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a81790>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fecae070-5d06-4241-a964-0a832d0e3e1b/element
2023-10-11 14:41:43,059 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a85df0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fecae070-5d06-4241-a964-0a832d0e3e1b/refresh
2023-10-11 14:41:43,059 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a85fd0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fecae070-5d06-4241-a964-0a832d0e3e1b/refresh
2023-10-11 14:41:43,059 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x100a85f10>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fecae070-5d06-4241-a964-0a832d0e3e1b/refresh
